Label (Grouping),"Census Tract 1, Allegany County, Maryland!!Total!!Estimate","Census Tract 1, Allegany County, Maryland!!Total!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Percent!!Estimate","Census Tract 1, Allegany County, Maryland!!Percent!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Male!!Estimate","Census Tract 1, Allegany County, Maryland!!Male!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Percent Male!!Estimate","Census Tract 1, Allegany County, Maryland!!Percent Male!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Female!!Estimate","Census Tract 1, Allegany County, Maryland!!Female!!Margin of Error","Census Tract 1, Allegany County, Maryland!!Percent Female!!Estimate","Census Tract 1, Allegany County, Maryland!!Percent Female!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Total!!Estimate","Census Tract 2, Allegany County, Maryland!!Total!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Percent!!Estimate","Census Tract 2, Allegany County, Maryland!!Percent!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Male!!Estimate","Census Tract 2, Allegany County, Maryland!!Male!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Percent Male!!Estimate","Census Tract 2, Allegany County, Maryland!!Percent Male!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Female!!Estimate","Census Tract 2, Allegany County, Maryland!!Female!!Margin of Error","Census Tract 2, Allegany County, Maryland!!Percent Female!!Estimate","Census Tract 2, Allegany County, Maryland!!Percent Female!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Total!!Estimate","Census Tract 5, Allegany County, Maryland!!Total!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Percent!!Estimate","Census Tract 5, Allegany County, Maryland!!Percent!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Male!!Estimate","Census Tract 5, Allegany County, Maryland!!Male!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Percent Male!!Estimate","Census Tract 5, Allegany County, Maryland!!Percent Male!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Female!!Estimate","Census Tract 5, Allegany County, Maryland!!Female!!Margin of Error","Census Tract 5, Allegany County, Maryland!!Percent Female!!Estimate"
        40 to 44 years,181,±58,5.20%,±1.6,122,±47,6.20%,±2.3,59,±39,3.90%,±2.5,281,±110,6.60%,±2.4,253,±105,9.00%,±3.3,28,±31,2.00%,±2.2,20,±31,0.90%,±1.4,8,±15,0.70%,±1.4,12,±24,1.00%
        45 to 49 years,160,±74,4.60%,±2.0,56,±41,2.80%,±2.0,104,±64,6.90%,±4.2,366,±128,8.60%,±2.7,276,±90,9.80%,±2.7,90,±62,6.30%,±4.2,134,±115,6.00%,±4.9,86,±56,8.10%,±5.1,48,±68,4.10%
        50 to 54 years,286,±90,8.30%,±2.8,121,±61,6.20%,±3.1,165,±59,11.00%,±4.1,375,±111,8.80%,±2.6,262,±86,9.30%,±2.9,113,±48,7.90%,±3.4,57,±42,2.50%,±1.8,25,±29,2.30%,±2.7,32,±25,2.70%
        55 to 59 years,391,±138,11.30%,±3.8,233,±103,11.90%,±5.1,158,±71,10.60%,±4.4,314,±161,7.40%,±3.7,125,±62,4.40%,±2.3,189,±144,13.30%,±8.9,72,±55,3.20%,±2.5,32,±29,3.00%,±2.8,40,±38,3.40%
        60 to 64 years,427,±187,12.30%,±4.8,273,±104,13.90%,±4.7,154,±105,10.30%,±6.5,401,±143,9.40%,±3.2,241,±103,8.50%,±3.4,160,±70,11.20%,±4.8,167,±89,7.50%,±4.0,104,±65,9.70%,±5.6,63,±47,5.40%
        65 to 69 years,244,±85,7.00%,±2.6,114,±47,5.80%,±2.5,130,±61,8.70%,±4.0,195,±78,4.60%,±1.8,111,±50,3.90%,±1.7,84,±43,5.90%,±3.2,110,±69,4.90%,±3.0,57,±43,5.30%,±3.6,53,±37,4.50%
        70 to 74 years,214,±91,6.20%,±2.6,107,±57,5.40%,±2.9,107,±61,7.10%,±4.2,205,±96,4.80%,±2.2,113,±69,4.00%,±2.4,92,±50,6.50%,±3.6,112,±52,5.00%,±2.5,34,±30,3.20%,±2.8,78,±41,6.60%
        75 to 79 years,134,±71,3.90%,±2.0,70,±40,3.60%,±2.0,64,±43,4.30%,±2.7,67,±39,1.60%,±0.9,51,±35,1.80%,±1.3,16,±19,1.10%,±1.3,66,±60,2.90%,±2.7,35,±43,3.30%,±4.1,31,±39,2.60%
        80 to 84 years,34,±28,1.00%,±0.8,18,±20,0.90%,±1.0,16,±19,1.10%,±1.3,182,±146,4.30%,±3.3,82,±67,2.90%,±2.3,100,±87,7.00%,±5.8,77,±47,3.40%,±2.1,62,±43,5.80%,±4.2,15,±22,1.30%
        85 years and over,39,±31,1.10%,±0.9,28,±25,1.40%,±1.3,11,±17,0.70%,±1.2,42,±29,1.00%,±0.7,12,±12,0.40%,±0.4,30,±22,2.10%,±1.6,56,±33,2.50%,±1.4,13,±20,1.20%,±1.9,43,±36,3.70%
    SELECTED AGE CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        5 to 14 years,282,±100,8.10%,±2.6,160,±67,8.10%,±3.1,122,±71,8.10%,±4.3,344,±93,8.10%,±1.9,147,±54,5.20%,±1.9,197,±79,13.80%,±5.0,167,±128,7.50%,±5.1,92,±110,8.60%,±9.3,75,±55,6.40%
        15 to 17 years,201,±101,5.80%,±2.8,122,±73,6.20%,±3.6,79,±56,5.30%,±3.5,95,±53,2.20%,±1.2,82,±51,2.90%,±1.8,13,±21,0.90%,±1.5,19,±22,0.80%,±1.0,0,±13,0.00%,±3.7,19,±22,1.60%
        Under 18 years,606,±177,17.50%,±4.3,358,±110,18.20%,±4.4,248,±115,16.60%,±6.5,536,±110,12.60%,±2.3,283,±90,10.00%,±3.2,253,±64,17.80%,±3.8,283,±162,12.60%,±5.9,107,±113,10.00%,±9.4,176,±83,15.00%
        18 to 24 years,310,±125,9.00%,±3.4,210,±77,10.70%,±3.8,100,±62,6.70%,±4.0,293,±118,6.90%,±2.8,221,±93,7.80%,±3.2,72,±54,5.10%,±3.9,751,±177,33.50%,±8.3,320,±110,30.00%,±10.6,431,±133,36.70%
        15 to 44 years,"1,128",±197,32.60%,±4.1,709,±142,36.10%,±5.0,419,±104,28.00%,±5.4,"1,657",±233,39.00%,±4.1,"1,347",±216,47.70%,±4.5,310,±78,21.80%,±5.4,"1,126",±216,50.20%,±5.9,512,±135,48.00%,±9.4,614,±187,52.30%
        16 years and over,"3,020",±360,87.20%,±4.4,"1,718",±227,87.40%,±4.5,"1,302",±185,87.00%,±6.3,"3,786",±413,89.20%,±1.9,"2,602",±330,92.20%,±2.4,"1,184",±210,83.10%,±4.2,"1,977",±298,88.20%,±5.9,960,±193,90.00%,±9.4,"1,017",±231,86.60%
        18 years and over,"2,856",±333,82.50%,±4.3,"1,607",±205,81.80%,±4.4,"1,249",±174,83.40%,±6.5,"3,709",±413,87.40%,±2.3,"2,538",±333,90.00%,±3.2,"1,171",±207,82.20%,±3.8,"1,958",±297,87.40%,±5.9,960,±193,90.00%,±9.4,998,±228,85.00%
        21 years and over,"2,696",±322,77.90%,±4.6,"1,475",±195,75.10%,±5.2,"1,221",±175,81.60%,±6.9,"3,687",±414,86.90%,±2.2,"2,530",±333,89.70%,±3.2,"1,157",±206,81.30%,±4.0,"1,395",±305,62.20%,±8.3,744,±188,69.70%,±9.8,651,±211,55.50%
        60 years and over,"1,092",±226,31.50%,±5.4,610,±119,31.00%,±5.0,482,±141,32.20%,±8.3,"1,092",±224,25.70%,±4.4,610,±152,21.60%,±4.4,482,±116,33.80%,±7.4,588,±166,26.20%,±7.2,305,±113,28.60%,±9.2,283,±102,24.10%
        62 years and over,897,±146,25.90%,±4.4,518,±106,26.40%,±5.2,379,±88,25.30%,±5.9,943,±207,22.20%,±4.1,501,±137,17.80%,±4.1,442,±111,31.00%,±7.2,455,±135,20.30%,±5.9,222,±90,20.80%,±7.7,233,±88,19.80%
        65 years and over,665,±128,19.20%,±3.9,337,±83,17.20%,±4.2,328,±86,21.90%,±5.7,691,±186,16.30%,±3.9,369,±112,13.10%,±3.6,322,±99,22.60%,±6.4,421,±128,18.80%,±5.6,201,±82,18.80%,±7.3,220,±87,18.70%
        75 years and over,207,±91,6.00%,±2.6,116,±51,5.90%,±2.6,91,±53,6.10%,±3.4,291,±153,6.90%,±3.5,145,±75,5.10%,±2.6,146,±94,10.30%,±6.2,199,±100,8.90%,±4.4,110,±66,10.30%,±6.5,89,±64,7.60%
    SUMMARY INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Median age (years),51.6,±5.6,(X),(X),48.7,±8.4,(X),(X),52.6,±4.6,(X),(X),45.2,±1.7,(X),(X),42.7,±2.6,(X),(X),53,±4.7,(X),(X),29.8,±7.6,(X),(X),32.8,±7.3,(X),(X),24.3,±9.4,(X)
        Sex ratio (males per 100 females),131.3,±20.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),198.1,±36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),90.9,±26.7,(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Age dependency ratio,58,±11.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.7,±8.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),45.8,±12.2,(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Old-age dependency ratio,30.4,±7.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,±6.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,±9.4,(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Child dependency ratio,27.7,±8.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.8,±3.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.4,±9.6,(X),(X),(X),(X),(X),(X),(X),(X),(X)
    PERCENT ALLOCATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Sex,(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.00%,(X),(X),(X),(X),(X),(X),(X),(X)
        Age,(X),(X),1.30%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.80%,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),0.80%,(X),(X),(X),(X),(X),(X),(X),(X)
